"Query"	"Lowest E-value"	"Description (E-value)"
Rana_pipiens_Transcript_071028	1.395E-68	JGI_XZT60602.fwd NIH_XGC_tropTad5 Xenopus tropicalis cDNA clone IMAGE:7635034 5', mRNA sequence
Rana_pipiens_Transcript_073648	0	JGI_XZT48413.fwd NIH_XGC_tropTad5 Xenopus tropicalis cDNA clone IMAGE:7623633 5', mRNA sequence
Rana_pipiens_Transcript_073649	0	JGI_XZT48413.fwd NIH_XGC_tropTad5 Xenopus tropicalis cDNA clone IMAGE:7623633 5', mRNA sequence
Rana_pipiens_Transcript_077688		not available
Rana_pipiens_Transcript_079797	9.983E-3	JGI_CAAJ19408.fwd NIH_XGC_tropBrn2 Xenopus tropicalis cDNA clone IMAGE:7649118 5', mRNA sequence
Rana_pipiens_Transcript_083366	0	JGI_CABH2746.rev NIH_XGC_tropSkeMus1 Xenopus tropicalis cDNA clone IMAGE:7846217 3', mRNA sequence
Rana_pipiens_Transcript_084046		not available
Rana_pipiens_Transcript_085973		not available
Rana_pipiens_Transcript_087356		not available
Rana_pipiens_Transcript_089070	6.845E-68	AGENCOURT_103371182 NICHD_XGC_tropInt_62 Xenopus tropicalis cDNA clone IMAGE:8954250 5', mRNA sequence
Rana_pipiens_Transcript_093078		not available
Rana_pipiens_Transcript_093152		not available
Rana_pipiens_Transcript_094960	2.157E-155	CR422024 XGC-tailbud Xenopus tropicalis cDNA clone TTbA049h22 5', mRNA sequence
Rana_pipiens_Transcript_095502		not available
Rana_pipiens_Transcript_097418		not available
Rana_pipiens_Transcript_098153	0.758283	CBXT16033.b1 NICHD_XGC_trop_25 Xenopus tropicalis cDNA clone IMAGE:9013732 5', mRNA sequence
Rana_pipiens_Transcript_098255	8.877E-110	JGI_CAAQ3714.fwd NIH_XGC_tropHrt1 Xenopus tropicalis cDNA clone IMAGE:7724108 5', mRNA sequence
Rana_pipiens_Transcript_098823	2.108E-175	JGI_XZG12024.fwd NIH_XGC_tropGas7 Xenopus tropicalis cDNA clone IMAGE:7528567 5', mRNA sequence
Rana_pipiens_Transcript_099122	1.989E-69	JGI_CAAL11654.rev NIH_XGC_tropBrn4 Xenopus tropicalis cDNA clone IMAGE:7669403 3', mRNA sequence
Rana_pipiens_Transcript_099635	2.512E-148	JGI_CAAK12367.fwd NIH_XGC_tropBrn3 Xenopus tropicalis cDNA clone IMAGE:7663293 5', mRNA sequence
Rana_pipiens_Transcript_100060		not available
Rana_pipiens_Transcript_100064		not available
Rana_pipiens_Transcript_100066		not available
Rana_pipiens_Transcript_102042	0	JGI_CABK3941.rev NIH_XGC_tropSpl1 Xenopus tropicalis cDNA clone IMAGE:7879779 3', mRNA sequence
Rana_pipiens_Transcript_103309	7.615E-93	CR576015 XGC-tailbud-head Xenopus tropicalis cDNA clone THdA040l12 5', mRNA sequence
Rana_pipiens_Transcript_103314		not available
Rana_pipiens_Transcript_106561		not available
Rana_pipiens_Transcript_106721	2.379E-154	JGI_CAAO8909.fwd NIH_XGC_tropTe5 Xenopus tropicalis cDNA clone CAAO8909 5', mRNA sequence
Rana_pipiens_Transcript_106783		not available
Rana_pipiens_Transcript_107172	1.162E-147	JGI_CABC7108.fwd NIH_XGC_tropFat1 Xenopus tropicalis cDNA clone IMAGE:7803292 5', mRNA sequence
Rana_pipiens_Transcript_107671		not available
Rana_pipiens_Transcript_107678	3.283E-27	JGI_CAAN12541.fwd NIH_XGC_tropTe4 Xenopus tropicalis cDNA clone IMAGE:7794522 5', mRNA sequence
Rana_pipiens_Transcript_111108	1.793E-32	CBSU9345.rev NICHD_XGC_tropLimb_m Xenopus tropicalis cDNA clone IMAGE:8871275 3', mRNA sequence
Rana_pipiens_Transcript_112942		not available
Rana_pipiens_Transcript_112961	2.225E-19	JGI_CAAR3578.rev NIH_XGC_tropLiv1 Xenopus tropicalis cDNA clone IMAGE:7736025 3', mRNA sequence
Rana_pipiens_Transcript_113120		not available
Rana_pipiens_Transcript_113124		not available
Rana_pipiens_Transcript_113152	1.272E-144	JGI_CABJ7155.fwd NIH_XGC_tropSki1 Xenopus tropicalis cDNA clone IMAGE:7871992 5', mRNA sequence
Rana_pipiens_Transcript_113331	3.754E-36	CCAX9602.b1 NICHD_XGC_tropEye1 Xenopus tropicalis cDNA clone IMAGE:8852091 5', mRNA sequence
Rana_pipiens_Transcript_113351	0	JGI_CABK2541.fwd NIH_XGC_tropSpl1 Xenopus tropicalis cDNA clone IMAGE:7878230 5', mRNA sequence
Rana_pipiens_Transcript_113484		not available
Rana_pipiens_Transcript_113843	3.883E-20	BX750501 XGC-gastrula Xenopus tropicalis cDNA clone TGas068p01 3', mRNA sequence
Rana_pipiens_Transcript_113889	4.033E-61	AGENCOURT_90891984 NICHD_XGC_tropInt_60 Xenopus tropicalis cDNA clone IMAGE:8950335 5', mRNA sequence
Rana_pipiens_Transcript_113893	5.278E-58	CBXT14490.b1 NICHD_XGC_trop_25 Xenopus tropicalis cDNA clone IMAGE:9012626 5', mRNA sequence
Rana_pipiens_Transcript_113958		not available
Rana_pipiens_Transcript_114014		not available
Rana_pipiens_Transcript_114188		not available
Rana_pipiens_Transcript_114886		not available
Rana_pipiens_Transcript_114904	9.254E-21	JGI_XZT50458.fwd NIH_XGC_tropTad5 Xenopus tropicalis cDNA clone IMAGE:7625441 5', mRNA sequence
Rana_pipiens_Transcript_114934	1.794E-58	CR428234 XGC-tailbud Xenopus tropicalis cDNA clone TTbA049l09 5', mRNA sequence
Rana_pipiens_Transcript_115125	1.388E-127	JGI_CABJ11990.fwd NIH_XGC_tropSki1 Xenopus tropicalis cDNA clone IMAGE:7877135 5', mRNA sequence
Rana_pipiens_Transcript_115403	9.819E-26	BX716871 XGC-tadpole Xenopus tropicalis cDNA clone TTpA029m14 5', mRNA sequence
Rana_pipiens_Transcript_115440	5.069E-69	AGENCOURT_15990487 XtSt10-30 Xenopus tropicalis cDNA clone IMAGE:7030221 5', mRNA sequence
Rana_pipiens_Transcript_115943		not available
Rana_pipiens_Transcript_116096	1.756E-28	CR434527 XGC-tailbud Xenopus tropicalis cDNA clone TTbA073e13 5', mRNA sequence
Rana_pipiens_Transcript_116811	3.051E-175	JGI_CAAJ15988.fwd NIH_XGC_tropBrn2 Xenopus tropicalis cDNA clone IMAGE:7645864 5', mRNA sequence
Rana_pipiens_Transcript_117174		not available
Rana_pipiens_Transcript_117345	1.529E-135	JGI_CAAM9222.rev NIH_XGC_tropTe3 Xenopus tropicalis cDNA clone IMAGE:7683195 3', mRNA sequence
Rana_pipiens_Transcript_117513		not available
Rana_pipiens_Transcript_117616		not available
Rana_pipiens_Transcript_118000		not available
Rana_pipiens_Transcript_118001		not available
Rana_pipiens_Transcript_118164		not available
Rana_pipiens_Transcript_118219	3.63E-166	JGI_CAAK5794.fwd NIH_XGC_tropBrn3 Xenopus tropicalis cDNA clone IMAGE:7656515 5', mRNA sequence
Rana_pipiens_Transcript_118597		not available
Rana_pipiens_Transcript_119295		not available
Rana_pipiens_Transcript_119939	6.191E-177	JGI_XZT67907.fwd NIH_XGC_tropTad5 Xenopus tropicalis cDNA clone IMAGE:7786764 5', mRNA sequence
Rana_pipiens_Transcript_120336	5.507E-175	JGI_CAAM5272.fwd NIH_XGC_tropTe3 Xenopus tropicalis cDNA clone IMAGE:7679088 5', mRNA sequence
Rana_pipiens_Transcript_120366	2.039E-177	JGI_CAAM15661.fwd NIH_XGC_tropTe3 Xenopus tropicalis cDNA clone IMAGE:7685862 5', mRNA sequence
Rana_pipiens_Transcript_120483	7.404E-3	BX761273 XGC-gastrula Xenopus tropicalis cDNA clone TGas132l05 3', mRNA sequence
Rana_pipiens_Transcript_121555	1.88657	JGI_CABD7114.fwd NIH_XGC_tropLun1 Xenopus tropicalis cDNA clone IMAGE:7812030 5', mRNA sequence
Rana_pipiens_Transcript_121582	5.475E-141	JGI_CAAK12834.fwd NIH_XGC_tropBrn3 Xenopus tropicalis cDNA clone IMAGE:7793251 5', mRNA sequence
Rana_pipiens_Transcript_122021	5.802E-171	JGI_CABJ7833.fwd NIH_XGC_tropSki1 Xenopus tropicalis cDNA clone IMAGE:7872689 5', mRNA sequence
Rana_pipiens_Transcript_122138	1.117E-46	CBXT10075.g1 NICHD_XGC_trop_25 Xenopus tropicalis cDNA clone IMAGE:8892097 3', mRNA sequence
Rana_pipiens_Transcript_122467		not available
Rana_pipiens_Transcript_123116		not available
Rana_pipiens_Transcript_123235	0	JGI_CAAR11893.rev NIH_XGC_tropLiv1 Xenopus tropicalis cDNA clone IMAGE:7743864 3', mRNA sequence
Rana_pipiens_Transcript_123292	9.35E-40	JGI_CAAR3243.rev NIH_XGC_tropLiv1 Xenopus tropicalis cDNA clone IMAGE:7735701 3', mRNA sequence
Rana_pipiens_Transcript_123432	2.361E-161	BX748807 XGC-gastrula Xenopus tropicalis cDNA clone TGas067b08 3', mRNA sequence
Rana_pipiens_Transcript_123435	2.357E-161	BX748807 XGC-gastrula Xenopus tropicalis cDNA clone TGas067b08 3', mRNA sequence
Rana_pipiens_Transcript_123478	2.366E-135	JGI_CABK5672.fwd NIH_XGC_tropSpl1 Xenopus tropicalis cDNA clone IMAGE:7881460 5', mRNA sequence
Rana_pipiens_Transcript_123505	0	JGI_CABD3470.fwd NIH_XGC_tropLun1 Xenopus tropicalis cDNA clone IMAGE:7809149 5', mRNA sequence
Rana_pipiens_Transcript_126054	0	JGI_CAAK6191.fwd NIH_XGC_tropBrn3 Xenopus tropicalis cDNA clone IMAGE:7657141 5', mRNA sequence
Rana_pipiens_Transcript_126307		not available
Rana_pipiens_Transcript_126556		not available
Rana_pipiens_Transcript_126612	1.015E-116	JGI_XZG47849.fwd NIH_XGC_tropGas7 Xenopus tropicalis cDNA clone IMAGE:7562390 5', mRNA sequence
Rana_pipiens_Transcript_126623		not available
Rana_pipiens_Transcript_126897		not available
Rana_pipiens_Transcript_127034	4.482E-159	JGI_CABH2253.rev NIH_XGC_tropSkeMus1 Xenopus tropicalis cDNA clone IMAGE:7845614 3', mRNA sequence
Rana_pipiens_Transcript_127268	3.591E-115	JGI_XZG40050.fwd NIH_XGC_tropGas7 Xenopus tropicalis cDNA clone IMAGE:7555159 5', mRNA sequence
Rana_pipiens_Transcript_127270	1.446E-146	JGI_CAAK1574.fwd NIH_XGC_tropBrn3 Xenopus tropicalis cDNA clone IMAGE:7652867 5', mRNA sequence
Rana_pipiens_Transcript_127429		not available
Rana_pipiens_Transcript_127882		not available
Rana_pipiens_Transcript_128585	3.944E-20	CR562270 XGC-tailbud-head Xenopus tropicalis cDNA clone THdA016h09 5', mRNA sequence
Rana_pipiens_Transcript_128696	0	JGI_CAAK1941.fwd NIH_XGC_tropBrn3 Xenopus tropicalis cDNA clone IMAGE:7653199 5', mRNA sequence
Rana_pipiens_Transcript_129208	4.817E-46	JGI_CAAK7148.fwd NIH_XGC_tropBrn3 Xenopus tropicalis cDNA clone IMAGE:7657766 5', mRNA sequence
Rana_pipiens_Transcript_129996		not available
Rana_pipiens_Transcript_130331	5.205E-129	JGI_CAAN2922.rev NIH_XGC_tropTe4 Xenopus tropicalis cDNA clone IMAGE:7688390 3', mRNA sequence
Rana_pipiens_Transcript_130471	6.627E-115	JGI_XZG38295.fwd NIH_XGC_tropGas7 Xenopus tropicalis cDNA clone IMAGE:7553472 5', mRNA sequence
Rana_pipiens_Transcript_130543		not available
Rana_pipiens_Transcript_131011	3.006E-122	EC2BBA27AG12.b1 Xenopus tropicalis xtbs plasmid library Xenopus tropicalis cDNA clone xtbs27M23 3', mRNA sequence
Rana_pipiens_Transcript_131013		not available
Rana_pipiens_Transcript_131695		not available
Rana_pipiens_Transcript_131730		not available
Rana_pipiens_Transcript_132128		not available
Rana_pipiens_Transcript_132139	6.597E-105	BX705266 XGC-tadpole Xenopus tropicalis cDNA clone TTpA007f16 5', mRNA sequence
Rana_pipiens_Transcript_132767		not available
Rana_pipiens_Transcript_132841	1.07E-173	JGI_CABG9967.fwd NIH_XGC_tropSto1 Xenopus tropicalis cDNA clone CABG9967 5', mRNA sequence
Rana_pipiens_Transcript_132846	2.232E-179	BX729332 XGC-tadpole Xenopus tropicalis cDNA clone TTpA056e15 5', mRNA sequence
Rana_pipiens_Transcript_133246	3.768E-138	CR416759 XGC-tailbud Xenopus tropicalis cDNA clone TTbA014b05 5', mRNA sequence
Rana_pipiens_Transcript_133249	3.768E-138	CR416759 XGC-tailbud Xenopus tropicalis cDNA clone TTbA014b05 5', mRNA sequence
Rana_pipiens_Transcript_133251	3.768E-138	CR416759 XGC-tailbud Xenopus tropicalis cDNA clone TTbA014b05 5', mRNA sequence
Rana_pipiens_Transcript_133800	2.26E-127	JGI_CAAK12458.fwd NIH_XGC_tropBrn3 Xenopus tropicalis cDNA clone IMAGE:7663077 5', mRNA sequence
Rana_pipiens_Transcript_134370	0	JGI_CAAP1301.rev NIH_XGC_tropInt1 Xenopus tropicalis cDNA clone IMAGE:7710063 3', mRNA sequence
Rana_pipiens_Transcript_135701	9.9E-165	CR574634 XGC-tailbud-head Xenopus tropicalis cDNA clone THdA026e07 5', mRNA sequence
Rana_pipiens_Transcript_135992	8.994E-178	JGI_CABA7790.rev NIH_XGC_tropKid1 Xenopus tropicalis cDNA clone IMAGE:7752725 3', mRNA sequence
Rana_pipiens_Transcript_136289	1.397E-121	JGI_XZT66018.fwd NIH_XGC_tropTad5 Xenopus tropicalis cDNA clone IMAGE:7784804 5', mRNA sequence
Rana_pipiens_Transcript_136296	1.385E-121	JGI_XZT66018.fwd NIH_XGC_tropTad5 Xenopus tropicalis cDNA clone IMAGE:7784804 5', mRNA sequence
Rana_pipiens_Transcript_136297	1.386E-121	JGI_XZT66018.fwd NIH_XGC_tropTad5 Xenopus tropicalis cDNA clone IMAGE:7784804 5', mRNA sequence
Rana_pipiens_Transcript_136558		not available
Rana_pipiens_Transcript_136648	6.471E-172	JGI_CAAK5415.fwd NIH_XGC_tropBrn3 Xenopus tropicalis cDNA clone IMAGE:7656371 5', mRNA sequence
Rana_pipiens_Transcript_136822	0	JGI_CAAO6751.fwd NIH_XGC_tropTe5 Xenopus tropicalis cDNA clone IMAGE:7703602 5', mRNA sequence
Rana_pipiens_Transcript_136826		not available
Rana_pipiens_Transcript_137155	3.7E-164	JGI_CAAN12277.fwd NIH_XGC_tropTe4 Xenopus tropicalis cDNA clone CAAN12277 5', mRNA sequence
Rana_pipiens_Transcript_139314		not available
Rana_pipiens_Transcript_139600		not available
Rana_pipiens_Transcript_139722	7.076E-163	JGI_XZT19083.fwd NIH_XGC_tropTad5 Xenopus tropicalis cDNA clone IMAGE:7595902 5', mRNA sequence
Rana_pipiens_Transcript_139788	0	JGI_XZG57716.fwd NIH_XGC_tropGas7 Xenopus tropicalis cDNA clone IMAGE:7571767 5', mRNA sequence
Rana_pipiens_Transcript_140282		not available
Rana_pipiens_Transcript_140366	4.915E-46	JGI_XZT6581.rev NIH_XGC_tropTad5 Xenopus tropicalis cDNA clone IMAGE:7585239 3', mRNA sequence
Rana_pipiens_Transcript_140378	2.216E-46	CBXT2771.b1 NICHD_XGC_trop_25 Xenopus tropicalis cDNA clone IMAGE:8884799 5', mRNA sequence
Rana_pipiens_Transcript_140975	4.01E-62	CBXT11270.b1 NICHD_XGC_trop_25 Xenopus tropicalis cDNA clone IMAGE:9010139 5', mRNA sequence
Rana_pipiens_Transcript_141016	1.78E-78	BX716093 XGC-tadpole Xenopus tropicalis cDNA clone TTpA033f01 3', mRNA sequence
Rana_pipiens_Transcript_142482	0.0453794	JGI_CAAN11165.fwd NIH_XGC_tropTe4 Xenopus tropicalis cDNA clone CAAN11165 5', mRNA sequence
Rana_pipiens_Transcript_143156		not available
Rana_pipiens_Transcript_143320	2.449E-177	JGI_CAAL6566.fwd NIH_XGC_tropBrn4 Xenopus tropicalis cDNA clone IMAGE:7665155 5', mRNA sequence
Rana_pipiens_Transcript_143910		not available
Rana_pipiens_Transcript_144366		not available
Rana_pipiens_Transcript_144561	3.688E-46	JGI_CAAL10668.fwd NIH_XGC_tropBrn4 Xenopus tropicalis cDNA clone IMAGE:7668150 5', mRNA sequence
Rana_pipiens_Transcript_144896		not available
Rana_pipiens_Transcript_144898		not available
Rana_pipiens_Transcript_144982	2.155E-106	BX755928 XGC-gastrula Xenopus tropicalis cDNA clone TGas116m12 3', mRNA sequence
Rana_pipiens_Transcript_145132	7.313E-113	CBSS3571.fwd NICHD_XGC_tropSp1 Xenopus tropicalis cDNA clone IMAGE:8895943 5', mRNA sequence
Rana_pipiens_Transcript_145523		not available
Rana_pipiens_Transcript_145639		not available
Rana_pipiens_Transcript_145649		not available
Rana_pipiens_Transcript_146713		not available
Rana_pipiens_Transcript_146854	7.309E-178	JGI_CAAK11022.fwd NIH_XGC_tropBrn3 Xenopus tropicalis cDNA clone IMAGE:7661710 5', mRNA sequence
Rana_pipiens_Transcript_146887	0	JGI_CAAK6430.fwd NIH_XGC_tropBrn3 Xenopus tropicalis cDNA clone IMAGE:7657106 5', mRNA sequence
Rana_pipiens_Transcript_146901		not available
Rana_pipiens_Transcript_147213	1.849E-142	JGI_CAAN12435.fwd NIH_XGC_tropTe4 Xenopus tropicalis cDNA clone IMAGE:7794447 5', mRNA sequence
Rana_pipiens_Transcript_147581	0	JGI_CAAJ11657.fwd NIH_XGC_tropBrn2 Xenopus tropicalis cDNA clone IMAGE:7641517 5', mRNA sequence
Rana_pipiens_Transcript_147586	0	JGI_CAAJ11657.fwd NIH_XGC_tropBrn2 Xenopus tropicalis cDNA clone IMAGE:7641517 5', mRNA sequence
Rana_pipiens_Transcript_147599	0	JGI_CAAJ11657.fwd NIH_XGC_tropBrn2 Xenopus tropicalis cDNA clone IMAGE:7641517 5', mRNA sequence
Rana_pipiens_Transcript_147600	0	JGI_CAAJ11657.fwd NIH_XGC_tropBrn2 Xenopus tropicalis cDNA clone IMAGE:7641517 5', mRNA sequence
Rana_pipiens_Transcript_147603	0	JGI_CAAJ11657.fwd NIH_XGC_tropBrn2 Xenopus tropicalis cDNA clone IMAGE:7641517 5', mRNA sequence
Rana_pipiens_Transcript_147911	1.067E-127	JGI_CABH3021.rev NIH_XGC_tropSkeMus1 Xenopus tropicalis cDNA clone IMAGE:7846382 3', mRNA sequence
Rana_pipiens_Transcript_148267	6.433E-179	JGI_CAAJ19014.fwd NIH_XGC_tropBrn2 Xenopus tropicalis cDNA clone IMAGE:7648636 5', mRNA sequence
Rana_pipiens_Transcript_148360		not available
Rana_pipiens_Transcript_149362	4.775E-27	JGI_CABK10563.rev NIH_XGC_tropSpl1 Xenopus tropicalis cDNA clone IMAGE:7885804 3', mRNA sequence
Rana_pipiens_Transcript_149445		not available
Rana_pipiens_Transcript_149471	0	JGI_XZG32155.fwd NIH_XGC_tropGas7 Xenopus tropicalis cDNA clone IMAGE:7547138 5', mRNA sequence
Rana_pipiens_Transcript_150581	1.684E-107	JGI_XZG43947.fwd NIH_XGC_tropGas7 Xenopus tropicalis cDNA clone IMAGE:7558677 5', mRNA sequence
Rana_pipiens_Transcript_151467		not available
Rana_pipiens_Transcript_152711	1.11E-50	CBSS9207.fwd NICHD_XGC_tropSp1 Xenopus tropicalis cDNA clone IMAGE:8901528 5', mRNA sequence
Rana_pipiens_Transcript_152819	1.803E-158	JGI_CAAJ17913.fwd NIH_XGC_tropBrn2 Xenopus tropicalis cDNA clone IMAGE:7647642 5', mRNA sequence
Rana_pipiens_Transcript_153303	9.346E-165	BX707356 XGC-tadpole Xenopus tropicalis cDNA clone TTpA005n09 5', mRNA sequence
Rana_pipiens_Transcript_153459	3.454E-51	JGI_CAAK11885.rev NIH_XGC_tropBrn3 Xenopus tropicalis cDNA clone IMAGE:7662454 3', mRNA sequence
Rana_pipiens_Transcript_153728		not available
Rana_pipiens_Transcript_153840	3.624E-73	JGI_CAAN4456.fwd NIH_XGC_tropTe4 Xenopus tropicalis cDNA clone IMAGE:7690212 5', mRNA sequence
Rana_pipiens_Transcript_154165	2.541E-111	CR585346 XGC-tailbud-head Xenopus tropicalis cDNA clone THdA046g05 5', mRNA sequence
Rana_pipiens_Transcript_154292		not available
Rana_pipiens_Transcript_154482		not available
Rana_pipiens_Transcript_154559		not available
