"Query"	"Lowest E-value"	"Description (E-value)"
Rana_pipiens_Transcript_119939	1.193E-177	BP686174 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL450i05ex 5', mRNA sequence
Rana_pipiens_Transcript_120336	9.46E-135	AGENCOURT_10184371 NICHD_XGC_Ov1 Xenopus laevis cDNA clone IMAGE:6318286 5', mRNA sequence
Rana_pipiens_Transcript_120366	3.428E-161	AGENCOURT_10487334 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:6639040 5', mRNA sequence
Rana_pipiens_Transcript_120483		not available
Rana_pipiens_Transcript_121555		not available
Rana_pipiens_Transcript_121582		not available
Rana_pipiens_Transcript_122021	4.266E-148	AGENCOURT_14214394 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6946927 5', mRNA sequence
Rana_pipiens_Transcript_122138	1.23E-48	AGENCOURT_19145630 NICHD_XGC_Te2 Xenopus laevis cDNA clone IMAGE:7210769 5', mRNA sequence
Rana_pipiens_Transcript_122467		not available
Rana_pipiens_Transcript_123116		not available
Rana_pipiens_Transcript_123235	6.42E-172	AGENCOURT_13054630 NICHD_XGC_Kid1 Xenopus laevis cDNA clone IMAGE:4031992 5', mRNA sequence
Rana_pipiens_Transcript_123292	6.766E-43	AGENCOURT_13842726 NICHD_XGC_Tad2 Xenopus laevis cDNA clone IMAGE:6932120 5', mRNA sequence
Rana_pipiens_Transcript_123432		not available
Rana_pipiens_Transcript_123435		not available
Rana_pipiens_Transcript_123478	2.072E-130	AGENCOURT_74350037 NICHD_XGC_limb_m Xenopus laevis cDNA clone IMAGE:8534274 5', mRNA sequence
Rana_pipiens_Transcript_123505		not available
Rana_pipiens_Transcript_126054	7.35E-176	DC012914 Osada Taira anterior endomesoderm (AEM) pCS105 cDNA library Xenopus laevis cDNA clone rxlk132j14ex 3', mRNA sequence
Rana_pipiens_Transcript_126307	0.458087	AGENCOURT_55952776 NICHD_XGC_FaB Xenopus laevis cDNA clone IMAGE:8069431 3', mRNA sequence
Rana_pipiens_Transcript_126556	1.012E-160	AGENCOURT_10493447 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:6642226 5', mRNA sequence
Rana_pipiens_Transcript_126612		not available
Rana_pipiens_Transcript_126623		not available
Rana_pipiens_Transcript_126897	3.682E-145	AGENCOURT_55953455 NICHD_XGC_FaB Xenopus laevis cDNA clone IMAGE:8070739 5', mRNA sequence
Rana_pipiens_Transcript_127034	5.991E-146	BX844974 NICHD_XGC_Lu1 Xenopus laevis cDNA clone IMAGp998I019328; IMAGE:4057800 5', mRNA sequence
Rana_pipiens_Transcript_127268	5.671E-114	AGENCOURT_11041692 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:6866249 5', mRNA sequence
Rana_pipiens_Transcript_127270	1.969E-135	DC132573 Yamamoto/Hyodo-Miura NIBB/NBRP Xenopus DMZ pCS2p+ cDNA library Xenopus laevis cDNA clone xl331l15 5', mRNA sequence
Rana_pipiens_Transcript_127429		not available
Rana_pipiens_Transcript_127882	1.3559	AGENCOURT_78604139 NICHD_XGC_limb Xenopus laevis cDNA clone IMAGE:8637989 3', mRNA sequence
Rana_pipiens_Transcript_128585	3.726E-20	AGENCOURT_90754823 NICHD_XGC_int_m Xenopus laevis cDNA clone IMAGE:8822123 5', mRNA sequence
Rana_pipiens_Transcript_128696	8.322E-158	BX852161 NICHD_XGC_Brn1 Xenopus laevis cDNA clone IMAGp998I2010584; IMAGE:4740955 5', mRNA sequence
Rana_pipiens_Transcript_129208	4.636E-45	AGENCOURT_14166640 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6945978 5', mRNA sequence
Rana_pipiens_Transcript_129996		not available
Rana_pipiens_Transcript_130331		not available
Rana_pipiens_Transcript_130471	1.913E-116	BX854340 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGp998A1410853; IMAGE:4930453 5', mRNA sequence
Rana_pipiens_Transcript_130543	3.755E-11	DC106330 Yamamoto/Hyodo-Miura NIBB/NBRP Xenopus DMZ pCS2p+ cDNA library Xenopus laevis cDNA clone xl241p12 5', mRNA sequence
Rana_pipiens_Transcript_131011	1.281E-69	BX847275 NICHD_XGC_Sp1 Xenopus laevis cDNA clone IMAGp998G019474; IMAGE:4173720 5', mRNA sequence
Rana_pipiens_Transcript_131013		not available
Rana_pipiens_Transcript_131695		not available
Rana_pipiens_Transcript_131730		not available
Rana_pipiens_Transcript_132128		not available
Rana_pipiens_Transcript_132139	3.918E-96	AGENCOURT_10456669 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:6630694 5', mRNA sequence
Rana_pipiens_Transcript_132767	1.444E-162	AGENCOURT_89901373 NICHD_XGC_int_m Xenopus laevis cDNA clone IMAGE:8821838 5', mRNA sequence
Rana_pipiens_Transcript_132841	6.785E-154	AGENCOURT_14218960 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6946075 5', mRNA sequence
Rana_pipiens_Transcript_132846	8.038E-169	AGENCOURT_8214880 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGE:4724710 5', mRNA sequence
Rana_pipiens_Transcript_133246	1.395E-128	AGENCOURT_8670905 NICHD_XGC_Emb4 Xenopus laevis cDNA clone IMAGE:4681325 5', mRNA sequence
Rana_pipiens_Transcript_133249	5.519E-136	AGENCOURT_10493649 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:6642454 5', mRNA sequence
Rana_pipiens_Transcript_133251	5.514E-136	AGENCOURT_10493649 NICHD_XGC_OO1 Xenopus laevis cDNA clone IMAGE:6642454 5', mRNA sequence
Rana_pipiens_Transcript_133800	1.77E-97	BJ069862 NIBB Mochii normalized Xenopus tailbud library Xenopus laevis cDNA clone XL054m21 5', mRNA sequence
Rana_pipiens_Transcript_134370	0	AGENCOURT_11240635 Wellcome CRC pSK egg Xenopus laevis cDNA clone IMAGE:6867236 5', mRNA sequence
Rana_pipiens_Transcript_135701	8.563E-144	AGENCOURT_11108261 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:6863553 5', mRNA sequence
Rana_pipiens_Transcript_135992		not available
Rana_pipiens_Transcript_136289	4.85E-112	BX849948 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGp998C0110623; IMAGE:4757304 5', mRNA sequence
Rana_pipiens_Transcript_136296	4.807E-112	BX849948 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGp998C0110623; IMAGE:4757304 5', mRNA sequence
Rana_pipiens_Transcript_136297	4.812E-112	BX849948 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGp998C0110623; IMAGE:4757304 5', mRNA sequence
Rana_pipiens_Transcript_136558	4.707E-150	AGENCOURT_10801975 Wellcome CRC pSK egg Xenopus laevis cDNA clone IMAGE:6323771 5', mRNA sequence
Rana_pipiens_Transcript_136648	5.136E-162	AGENCOURT_14238713 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6957840 5', mRNA sequence
Rana_pipiens_Transcript_136822	1.581E-173	AGENCOURT_10768142 Wellcome CRC pSK egg Xenopus laevis cDNA clone IMAGE:6323465 5', mRNA sequence
Rana_pipiens_Transcript_136826		not available
Rana_pipiens_Transcript_137155		not available
Rana_pipiens_Transcript_139314		not available
Rana_pipiens_Transcript_139600		not available
Rana_pipiens_Transcript_139722	3.902E-104	xl11057F03F_1379093 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11057F03 5', mRNA sequence
Rana_pipiens_Transcript_139788	1.541E-163	DC126056 Yamamoto/Hyodo-Miura NIBB/NBRP Xenopus DMZ pCS2p+ cDNA library Xenopus laevis cDNA clone xl310b07 5', mRNA sequence
Rana_pipiens_Transcript_140282	4.892E-18	AGENCOURT_90753483 NICHD_XGC_int_m Xenopus laevis cDNA clone IMAGE:8820754 5', mRNA sequence
Rana_pipiens_Transcript_140366	7.412E-51	BP694522 Osada Taira anterior neuroectoderm (ANE) pCS105 cDNA library Xenopus laevis cDNA clone XL474m05ex 5', mRNA sequence
Rana_pipiens_Transcript_140378	1.05E-58	AGENCOURT_18786217 NICHD_XGC_Te2N Xenopus laevis cDNA clone IMAGE:7205362 5', mRNA sequence
Rana_pipiens_Transcript_140975	7.123E-62	dg15f07.y1 Xenopus laevis gastrula non normalized Xenopus laevis cDNA clone IMAGE:3749124 5' similar to TR:O95834 O95834 ECHINODERM MICROTUBULE-ASSOCIATED PROTEIN-LIKE EMAP2. [1], mRNA sequence
Rana_pipiens_Transcript_141016	4.064E-81	xl11019C03F_1290287 Xenopus ORFeome version 1.0 library Xenopus laevis cDNA clone xl11019C03 5', mRNA sequence
Rana_pipiens_Transcript_142482	4.542E-3	AGENCOURT_10484162 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:6632415 5', mRNA sequence
Rana_pipiens_Transcript_143156	0.266513	BJ069884 NIBB Mochii normalized Xenopus tailbud library Xenopus laevis cDNA clone XL054o05 5', mRNA sequence
Rana_pipiens_Transcript_143320	5.143E-171	AGENCOURT_10316052 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:5154757 5', mRNA sequence
Rana_pipiens_Transcript_143910	0.0263103	BJ062758 NIBB Mochii normalized Xenopus tailbud library Xenopus laevis cDNA clone XL068p17 5', mRNA sequence
Rana_pipiens_Transcript_144366		not available
Rana_pipiens_Transcript_144561	1.044E-30	AGENCOURT_14238574 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6957975 5', mRNA sequence
Rana_pipiens_Transcript_144896	9.058E-167	AGENCOURT_14214535 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6946801 5', mRNA sequence
Rana_pipiens_Transcript_144898	9.165E-167	AGENCOURT_14214535 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6946801 5', mRNA sequence
Rana_pipiens_Transcript_144982	2.237E-104	AGENCOURT_89899974 NICHD_XGC_int_m Xenopus laevis cDNA clone IMAGE:8823291 5', mRNA sequence
Rana_pipiens_Transcript_145132		not available
Rana_pipiens_Transcript_145523		not available
Rana_pipiens_Transcript_145639		not available
Rana_pipiens_Transcript_145649	4.253E-102	AGENCOURT_86333868 NICHD_XGC_panc Xenopus laevis cDNA clone IMAGE:8736819 5', mRNA sequence
Rana_pipiens_Transcript_146713		not available
Rana_pipiens_Transcript_146854	1.038E-84	dae01e01.y1 NICHD_XGC_Lu1 Xenopus laevis cDNA clone IMAGE:4633032 5' similar to TR:O76050 O76050 NEURALIZED HOMOLOG, mRNA sequence
Rana_pipiens_Transcript_146887		not available
Rana_pipiens_Transcript_146901		not available
Rana_pipiens_Transcript_147213	2.338E-102	AGENCOURT_10456708 NICHD_XGC_Emb1 Xenopus laevis cDNA clone IMAGE:6630840 5', mRNA sequence
Rana_pipiens_Transcript_147581	1.915E-137	AGENCOURT_14233162 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6959220 5', mRNA sequence
Rana_pipiens_Transcript_147586	1.542E-137	AGENCOURT_14233162 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6959220 5', mRNA sequence
Rana_pipiens_Transcript_147599	1.566E-137	AGENCOURT_14233162 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6959220 5', mRNA sequence
Rana_pipiens_Transcript_147600	1.539E-137	AGENCOURT_14233162 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6959220 5', mRNA sequence
Rana_pipiens_Transcript_147603	1.267E-137	AGENCOURT_14233162 NICHD_XGC_Eye1 Xenopus laevis cDNA clone IMAGE:6959220 5', mRNA sequence
Rana_pipiens_Transcript_147911	8.577E-122	AGENCOURT_69759570 NICHD_XGC_Emb10 Xenopus laevis cDNA clone IMAGE:8318445 5', mRNA sequence
Rana_pipiens_Transcript_148267		not available
Rana_pipiens_Transcript_148360		not available
